time,city,CO,NO,NO2,NOx,SO2
2015/01/01 00:00,Taipei,0.79,1.2,16,17,12
2015/01/01 01:00,Taipei,0.8,1.3,16,17,11
2015/01/01 02:00,Taipei,0.71,1,13,14,8
2015/01/01 03:00,Taipei,0.66,0.8,11,12,6.5
2015/01/01 04:00,Taipei,0.53,0.6,10,11,5.5
2015/01/01 05:00,Taipei,0.5,0.8,11,12,5.7
2015/01/01 06:00,Taipei,0.57,1.4,18,19,5.8
2015/01/01 07:00,Taipei,0.61,2.3,17,20,6.5
2015/01/01 08:00,Taipei,0.59,2.9,15,18,6.8
2015/01/01 09:00,Taipei,0.6,4.1,16,20,5.9
2015/01/01 10:00,Taipei,0.55,4.2,14,18,5.2
2015/01/01 11:00,Taipei,0.51,3.8,13,17,4.5
2015/01/01 12:00,Taipei,0.47,4.2,12,16,3.7
2015/01/01 13:00,Taipei,0.42,2.9,10,13,3.3
2015/01/01 14:00,Taipei,0.41,3,12,15,3
2015/01/01 15:00,Taipei,0.42,2.4,13,16,3
2015/01/01 16:00,Taipei,0.45,1.8,14,16,3.2
2015/01/01 17:00,Taipei,0.46,2,16,18,3
2015/01/01 18:00,Taipei,0.45,2.5,18,20,3.2
2015/01/01 19:00,Taipei,0.48,2.8,21,24,3.3
2015/01/01 20:00,Taipei,0.52,3.3,23,27,2.4
2015/01/01 21:00,Taipei,0.43,3.2,19,23,2.3
2015/01/01 22:00,Taipei,0.4,2.7,17,20,2.2
2015/01/01 23:00,Taipei,0.35,1.6,14,15,2.2
2015/01/15 00:00,Taipei,0.35,1.7,9.7,11,1.6
2015/01/15 01:00,Taipei,0.32,1.4,8.3,9.6,1.4
2015/01/15 02:00,Taipei,0.31,1.4,7.9,9.3,1.6
2015/01/15 03:00,Taipei,0.29,1.7,6.9,8.6,1.3
2015/01/15 04:00,Taipei,0.29,1.9,7,8.8,1.5
2015/01/15 05:00,Taipei,0.32,1.9,10,12,1.7
2015/01/15 06:00,Taipei,0.42,6.6,19,26,1.8
2015/01/15 07:00,Taipei,0.73,11,24,35,2
2015/01/15 08:00,Taipei,0.8,13,25,38,2
2015/01/15 09:00,Taipei,0.6,10,21,32,1.9
2015/01/15 10:00,Taipei,0.52,9.6,20,29,1.7
2015/01/15 11:00,Taipei,0.51,9.2,21,30,1.8
2015/01/15 12:00,Taipei,0.45,5.4,17,23,1.6
2015/01/15 13:00,Taipei,0.48,6,20,26,1.8
2015/01/15 14:00,Taipei,0.57,9.8,26,36,2.1
2015/01/15 15:00,Taipei,0.46,7.3,23,30,3.2
2015/01/15 16:00,Taipei,0.53,8.1,26,34,2.2
2015/01/15 17:00,Taipei,0.64,6.2,26,32,1.8
2015/01/15 18:00,Taipei,0.73,6.6,26,33,1.5
2015/01/15 19:00,Taipei,0.52,3.2,18,22,1.5
2015/01/15 20:00,Taipei,0.56,5.4,24,29,1.4
2015/01/15 21:00,Taipei,0.53,4.9,22,27,1.4
2015/01/15 22:00,Taipei,0.56,4.8,22,27,1.5
2015/01/15 23:00,Taipei,0.4,2.4,16,18,1.4
2015/02/01 00:00,Taipei,0.43,1.2,13,14,1.3
2015/02/01 01:00,Taipei,0.34,0.9,9.4,10,0.9
2015/02/01 02:00,Taipei,0.28,0.9,8.3,9.2,2
2015/02/01 03:00,Taipei,0.26,-0.4,7.1,6.7,3.4
2015/02/01 04:00,Taipei,0.25,0,5.8,5.8,1.8
2015/02/01 05:00,Taipei,0.25,0,7,6.9,1.6
2015/02/01 06:00,Taipei,0.29,0.8,12,12,1.7
2015/02/01 07:00,Taipei,0.36,1.7,14,16,0.8
2015/02/01 08:00,Taipei,0.36,3.1,14,17,0.9
2015/02/01 09:00,Taipei,0.33,3.6,10,14,0.9
2015/02/01 10:00,Taipei,0.32,3.7,9.6,13,0.9
2015/02/01 11:00,Taipei,0.33,3,9.6,13,0.9
2015/02/01 12:00,Taipei,0.35,3.5,12,15,1
2015/02/01 13:00,Taipei,0.34,2.5,13,15,1.1
2015/02/01 14:00,Taipei,0.37,3.1,15,18,1
2015/02/01 15:00,Taipei,0.39,3.8,15,19,1
2015/02/01 16:00,Taipei,0.43,4.3,18,22,1.1
2015/02/01 17:00,Taipei,0.55,4.3,20,24,1.1
2015/02/01 18:00,Taipei,0.46,1.9,18,20,1
2015/02/01 19:00,Taipei,0.46,2.8,17,20,0.9
2015/02/01 20:00,Taipei,0.46,1.8,17,19,1
2015/02/01 21:00,Taipei,0.48,1.8,18,20,0.9
2015/02/01 22:00,Taipei,0.45,1.7,16,18,1
2015/02/01 23:00,Taipei,0.36,0,13,13,1.1
2015/02/14 00:00,Taipei,0.71,0.2,18,-0.2,1.6
2015/02/14 01:00,Taipei,0.67,0.2,18,-0.2,2.3
2015/02/14 02:00,Taipei,0.42,0.2,18,-0.2,2.4
2015/02/14 03:00,Taipei,0.37,0.2,18,-0.2,2.1
2015/02/14 04:00,Taipei,0.47,0.2,18,-0.2,2
2015/02/14 05:00,Taipei,0.54,0.2,18,-0.2,2
2015/02/14 06:00,Taipei,0.46,0.2,18,-0.2,2.3
2015/02/14 07:00,Taipei,0.61,0.2,18,-0.2,2.5
2015/02/14 08:00,Taipei,0.64,0.2,18,-0.2,2.5
2015/02/14 09:00,Taipei,0.54,0.2,18,-0.2,2.1
2015/02/14 10:00,Taipei,0.45,2.3,12,14,2
2015/02/14 11:00,Taipei,0.54,0.2,12,-0.2,2.4
2015/02/14 12:00,Taipei,0.5,0.2,12,-0.2,2.4
2015/02/14 13:00,Taipei,0.53,5.5,21,27,2.5
2015/02/14 14:00,Taipei,0.51,2.7,20,22,2.4
2015/02/14 15:00,Taipei,0.53,2.7,20,23,2.4
2015/02/14 16:00,Taipei,0.64,2.5,28,30,3.1
2015/02/14 17:00,Taipei,0.87,2.7,37,39,2.7
2015/02/14 18:00,Taipei,0.83,2,31,33,2.5
2015/02/14 19:00,Taipei,0.92,4.7,36,41,2.3
2015/02/14 20:00,Taipei,0.83,4.7,34,39,2.5
2015/02/14 21:00,Taipei,0.89,5.2,36,41,2.6
2015/02/14 22:00,Taipei,0.93,4.5,37,41,2.7
2015/02/14 23:00,Taipei,0.72,1.6,27,29,2.4
2015/03/01 00:00,Taipei,0.32,0.4,9.6,10,1.2
2015/03/01 01:00,Taipei,0.29,0.4,9.1,9.5,1.6
2015/03/01 02:00,Taipei,0.22,1,5.9,6.9,1.5
2015/03/01 03:00,Taipei,0.18,-0.4,3.8,3.4,1.5
2015/03/01 04:00,Taipei,0.23,-0.4,5.3,4.9,1.4
2015/03/01 05:00,Taipei,0.26,-0.6,6.8,6.1,1.4
2015/03/01 06:00,Taipei,0.32,0,11,11,1.3
2015/03/01 07:00,Taipei,0.38,1.6,14,15,1.4
2015/03/01 08:00,Taipei,0.43,3.9,15,19,1.5
2015/03/01 09:00,Taipei,0.45,3.9,15,19,1.7
2015/03/01 10:00,Taipei,0.51,4.8,17,22,1.9
2015/03/01 11:00,Taipei,0.52,5.4,17,22,1.7
2015/03/01 12:00,Taipei,0.52,5.8,15,21,1.8
2015/03/01 13:00,Taipei,0.5,4.6,14,19,1.7
2015/03/01 14:00,Taipei,0.49,4.1,15,19,1.7
2015/03/01 15:00,Taipei,0.48,3.9,15,19,1.7
2015/03/01 16:00,Taipei,0.49,3.7,16,20,1.6
2015/03/01 17:00,Taipei,0.49,2.9,16,18,1.6
2015/03/01 18:00,Taipei,0.56,4.5,21,26,1.7
2015/03/01 19:00,Taipei,0.58,4.2,23,27,1.6
2015/03/01 20:00,Taipei,0.58,5.2,23,28,1.7
2015/03/01 21:00,Taipei,0.58,4.4,24,28,2.1
2015/03/01 22:00,Taipei,0.51,2.8,20,23,2.8
